combination_instance_id,rule_id,standard,traffic_action,source_kind,source_key,source_model_path,load_case_id,stage,permanent_category,factor
ec_uls_persistent__lm1_000120,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000120,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000120,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000120,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000120,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000120,traffic/lm1/lm1_000120/lm1_000120.std,120,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000216,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000216,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000216,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000216,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000216,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000216,traffic/lm1/lm1_000216/lm1_000216.std,216,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000328,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000328,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000328,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000328,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000328,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000328,traffic/lm1/lm1_000328/lm1_000328.std,328,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000369,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000369,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000369,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000369,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000369,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000369,traffic/lm1/lm1_000369/lm1_000369.std,369,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000376,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000376,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000376,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000376,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000376,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000376,traffic/lm1/lm1_000376/lm1_000376.std,376,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000384,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000384,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000384,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000384,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000384,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000384,traffic/lm1/lm1_000384/lm1_000384.std,384,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000455,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000455,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000455,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000455,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000455,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000455,traffic/lm1/lm1_000455/lm1_000455.std,455,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000457,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000457,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000457,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000457,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000457,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000457,traffic/lm1/lm1_000457/lm1_000457.std,457,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000584,traffic/lm1/lm1_000584/lm1_000584.std,584,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000592,traffic/lm1/lm1_000592/lm1_000592.std,592,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
