standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
Eurocode,1,ec_uls_persistent,EN 1990 persistent ULS,lm1,moment;shear;torsion,1487.3768743860771,359.50697069643491,57.16313157454978,640,625,632,"{""G"": 1.35, ""Q_traffic"": 1.35}"
Eurocode,1,ec_sls_characteristic,EN 1990 characteristic SLS,lm1,moment;shear;torsion,1101.7606476933904,266.30145977513695,42.343060425592427,640,625,632,"{""G"": 1.0, ""Q_traffic"": 1.0}"
Eurocode,1,ec_sls_frequent,EN 1990 frequent SLS,lm1,moment;shear;torsion,1025.073243122984,252.72683012547037,31.75729531919432,640,625,632,"{""G"": 1.0, ""Q_traffic"": 0.75}"
Eurocode,1,ec_sls_quasi_permanent,EN 1990 quasi-permanent SLS,lm1,moment;shear;torsion,795.01102941176418,212.00294117647064,0,640,625,632,"{""G"": 1.0, ""Q_traffic"": 0.0}"
Eurocode,2,ec_uls_persistent,EN 1990 persistent ULS,lm1,moment;shear;torsion,1981.5898353968587,592.53072052226844,86.534685248970902,632,711,584,"{""G"": 1.35, ""Q_traffic"": 1.35}"
Eurocode,2,ec_sls_characteristic,EN 1990 characteristic SLS,lm1,moment;shear;torsion,1467.8443225161914,438.9116448313099,64.099766851089555,632,711,584,"{""G"": 1.0, ""Q_traffic"": 1.0}"
Eurocode,2,ec_sls_frequent,EN 1990 frequent SLS,lm1,moment;shear;torsion,1250.9648595342023,369.20549832936479,48.074825138317166,632,711,584,"{""G"": 1.0, ""Q_traffic"": 0.75}"
Eurocode,2,ec_sls_quasi_permanent,EN 1990 quasi-permanent SLS,lm1,moment;shear;torsion,600.32647058823557,160.08705882352945,0,632,711,584,"{""G"": 1.0, ""Q_traffic"": 0.0}"
Eurocode,3,ec_uls_persistent,EN 1990 persistent ULS,lm1,moment;shear;torsion,2368.3369064414719,713.88603462224023,71.339727732596145,632,713,216,"{""G"": 1.35, ""Q_traffic"": 1.35}"
Eurocode,3,ec_sls_characteristic,EN 1990 characteristic SLS,lm1,moment;shear;torsion,1754.3236344010902,528.80447009054831,52.844242764886033,632,713,216,"{""G"": 1.0, ""Q_traffic"": 1.0}"
Eurocode,3,ec_sls_frequent,EN 1990 frequent SLS,lm1,moment;shear;torsion,1472.6239758008178,438.43835256791124,39.633182073664528,632,713,216,"{""G"": 1.0, ""Q_traffic"": 0.75}"
Eurocode,3,ec_sls_quasi_permanent,EN 1990 quasi-permanent SLS,lm1,moment;shear;torsion,627.52499999999998,167.34,0,632,713,216,"{""G"": 1.0, ""Q_traffic"": 0.0}"
Eurocode,4,ec_uls_persistent,EN 1990 persistent ULS,lm1,moment;shear;torsion,2458.970243137755,760.562282068326,66.549672314794506,120,973,592,"{""G"": 1.35, ""Q_traffic"": 1.35}"
Eurocode,4,ec_sls_characteristic,EN 1990 characteristic SLS,lm1,moment;shear;torsion,1821.4594393612997,563.37946819876004,49.296053566514445,120,973,592,"{""G"": 1.0, ""Q_traffic"": 1.0}"
Eurocode,4,ec_sls_frequent,EN 1990 frequent SLS,lm1,moment;shear;torsion,1522.9758295209749,464.36960114907004,36.972040174885834,120,973,592,"{""G"": 1.0, ""Q_traffic"": 0.75}"
Eurocode,4,ec_sls_quasi_permanent,EN 1990 quasi-permanent SLS,lm1,moment;shear;torsion,627.52499999999998,167.34,0,120,973,592,"{""G"": 1.0, ""Q_traffic"": 0.0}"
Eurocode,5,ec_uls_persistent,EN 1990 persistent ULS,lm1,moment;shear;torsion,2368.3369064394692,713.88603462235812,71.339727732615643,376,457,984,"{""G"": 1.35, ""Q_traffic"": 1.35}"
Eurocode,5,ec_sls_characteristic,EN 1990 characteristic SLS,lm1,moment;shear;torsion,1754.3236343996068,528.80447009063562,52.844242764900471,376,457,984,"{""G"": 1.0, ""Q_traffic"": 1.0}"
