rule_id,standard,name,traffic_action,structural_dead_factor,surfacing_factor,other_superimposed_factor,traffic_factor,application_basis
ec_uls_persistent,EN 1990 / EN 1991-2,Persistent ULS,lm1,1.3500000000000001,1.3500000000000001,1.3500000000000001,1.3500000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
ec_sls_characteristic,EN 1990 / EN 1991-2,Characteristic SLS,lm1,1,1,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
ec_sls_frequent,EN 1990 / EN 1991-2,Frequent SLS,lm1,1,1,1,0.75,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
ec_sls_quasi_permanent,EN 1990 / EN 1991-2,Quasi-permanent SLS,lm1,1,1,1,0,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_uls_ha,BS 5400:Part 2 / BD 37/01,Combination 1 ULS (ha),ha,1.1499999999999999,1.75,1.2,1.5,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_sls_ha,BS 5400:Part 2 / BD 37/01,Combination 1 SLS (ha),ha,1,1.2,1,1.2,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_uls_ha,BS 5400:Part 2 / BD 37/01,Combination 2 ULS (ha),ha,1.1499999999999999,1.75,1.2,1.25,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_sls_ha,BS 5400:Part 2 / BD 37/01,Combination 2 SLS (ha),ha,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_uls_ha,BS 5400:Part 2 / BD 37/01,Combination 3 ULS (ha),ha,1.1499999999999999,1.75,1.2,1.25,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_sls_ha,BS 5400:Part 2 / BD 37/01,Combination 3 SLS (ha),ha,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_uls_hb,BS 5400:Part 2 / BD 37/01,Combination 1 ULS (hb),hb,1.1499999999999999,1.75,1.2,1.3,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_sls_hb,BS 5400:Part 2 / BD 37/01,Combination 1 SLS (hb),hb,1,1.2,1,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_uls_hb,BS 5400:Part 2 / BD 37/01,Combination 2 ULS (hb),hb,1.1499999999999999,1.75,1.2,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_sls_hb,BS 5400:Part 2 / BD 37/01,Combination 2 SLS (hb),hb,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_uls_hb,BS 5400:Part 2 / BD 37/01,Combination 3 ULS (hb),hb,1.1499999999999999,1.75,1.2,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_sls_hb,BS 5400:Part 2 / BD 37/01,Combination 3 SLS (hb),hb,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_uls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 1 ULS (ha_hb),ha_hb,1.1499999999999999,1.75,1.2,1.3,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_1_sls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 1 SLS (ha_hb),ha_hb,1,1.2,1,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_uls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 2 ULS (ha_hb),ha_hb,1.1499999999999999,1.75,1.2,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_2_sls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 2 SLS (ha_hb),ha_hb,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_uls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 3 ULS (ha_hb),ha_hb,1.1499999999999999,1.75,1.2,1.1000000000000001,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
bs_combination_3_sls_ha_hb,BS 5400:Part 2 / BD 37/01,Combination 3 SLS (ha_hb),ha_hb,1,1.2,1,1,Superpose response components from their load-time stiffness models; do not reapply early-stage permanent loads to the final composite stiffness.
