result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,85.27500000000127,kN,direct_global
node_displacement,2,,DZ,-0.0032847282452331495,m,direct_global
node_displacement,3,,DZ,-0.0060275093755586167,m,direct_global
node_displacement,4,,DZ,-0.0078317967215317547,m,direct_global
node_displacement,5,,DZ,-0.0084596622814857737,m,direct_global
node_displacement,6,,DZ,-0.0078317967215317461,m,direct_global
node_displacement,7,,DZ,-0.0060275093755586045,m,direct_global
node_displacement,8,,DZ,-0.0032847282452331404,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,85.274999999999906,kN,direct_global
member_end_force,1,i,FZ,85.27500000000127,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,0,kNm,direct_global_mapping
member_end_force,1,j,FZ,-63.956250000001276,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-139.90429687500364,kNm,direct_global_mapping
member_end_force,2,i,FZ,63.956250000000907,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,139.90429687500273,kNm,direct_global_mapping
member_end_force,2,j,FZ,-42.637500000000912,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-239.83593750000546,kNm,direct_global_mapping
member_end_force,3,i,FZ,42.637500000001452,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,239.83593750000455,kNm,direct_global_mapping
member_end_force,3,j,FZ,-21.318750000001454,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-299.79492187500819,kNm,direct_global_mapping
member_end_force,4,i,FZ,21.318750000000062,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,299.79492187500887,kNm,direct_global_mapping
member_end_force,4,j,FZ,-7.638334409421077e-14,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-319.78125000000625,kNm,direct_global_mapping
member_end_force,5,i,FZ,9.64561763794336e-13,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,319.78125000000739,kNm,direct_global_mapping
member_end_force,5,j,FZ,21.318749999999056,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-299.7949218750075,kNm,direct_global_mapping
member_end_force,6,i,FZ,-21.318749999999639,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,299.79492187500364,kNm,direct_global_mapping
member_end_force,6,j,FZ,42.637499999999633,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-239.83593750000546,kNm,direct_global_mapping
member_end_force,7,i,FZ,-42.637500000000912,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,239.83593750000364,kNm,direct_global_mapping
member_end_force,7,j,FZ,63.956250000000907,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-139.90429687500091,kNm,direct_global_mapping
member_end_force,8,i,FZ,-63.956249999999457,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,139.90429687500182,kNm,direct_global_mapping
member_end_force,8,j,FZ,85.274999999999451,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,1.7763568394002505e-15,kNm,direct_global_mapping
