result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,22.440000000000445,kN,direct_global
node_displacement,2,,DZ,-0.00025426989980617028,m,direct_global
node_displacement,3,,DZ,-0.00046658782419160426,m,direct_global
node_displacement,4,,DZ,-0.0006062572057752752,m,direct_global
node_displacement,5,,DZ,-0.00065486010412856715,m,direct_global
node_displacement,6,,DZ,-0.00060625720577527488,m,direct_global
node_displacement,7,,DZ,-0.00046658782419160372,m,direct_global
node_displacement,8,,DZ,-0.00025426989980616984,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,22.440000000000332,kN,direct_global
member_end_force,1,i,FZ,22.440000000000445,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,9.0816243414337805e-14,kNm,direct_global_mapping
member_end_force,1,j,FZ,-16.830000000000446,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-36.815625000000502,kNm,direct_global_mapping
member_end_force,2,i,FZ,16.830000000000318,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,36.815625000000729,kNm,direct_global_mapping
member_end_force,2,j,FZ,-11.220000000000319,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-63.112500000001411,kNm,direct_global_mapping
member_end_force,3,i,FZ,11.220000000000191,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,63.112500000001752,kNm,direct_global_mapping
member_end_force,3,j,FZ,-5.6100000000001904,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-78.89062500000145,kNm,direct_global_mapping
member_end_force,4,i,FZ,5.6100000000000048,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,78.890625000001563,kNm,direct_global_mapping
member_end_force,4,j,FZ,-8.8817841970012523e-15,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-84.150000000002038,kNm,direct_global_mapping
member_end_force,5,i,FZ,-6.0840221749458578e-14,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,84.150000000001455,kNm,direct_global_mapping
member_end_force,5,j,FZ,5.6100000000000669,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-78.890625000001904,kNm,direct_global_mapping
member_end_force,6,i,FZ,-5.6099999999999639,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,78.890625000001677,kNm,direct_global_mapping
member_end_force,6,j,FZ,11.219999999999963,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-63.112500000001411,kNm,direct_global_mapping
member_end_force,7,i,FZ,-11.220000000000091,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,63.112500000000956,kNm,direct_global_mapping
member_end_force,7,j,FZ,16.830000000000091,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-36.815625000000502,kNm,direct_global_mapping
member_end_force,8,i,FZ,-16.830000000000219,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,36.815625000000047,kNm,direct_global_mapping
member_end_force,8,j,FZ,22.440000000000218,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,-3.1785685195018232e-13,kNm,direct_global_mapping
