result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,39.375,kN,direct_global
node_displacement,2,,DZ,-0.001516695100041672,m,direct_global
node_displacement,3,,DZ,-0.0027831507670784796,m,direct_global
node_displacement,4,,DZ,-0.0036162649769605221,m,direct_global
node_displacement,5,,DZ,-0.0039061765151978591,m,direct_global
node_displacement,6,,DZ,-0.0036162649769605143,m,direct_global
node_displacement,7,,DZ,-0.0027831507670784692,m,direct_global
node_displacement,8,,DZ,-0.001516695100041665,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,39.375000000000227,kN,direct_global
member_end_force,1,i,FZ,39.375,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,0,kNm,direct_global_mapping
member_end_force,1,j,FZ,-29.53125,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-64.599609375000909,kNm,direct_global_mapping
member_end_force,2,i,FZ,29.53125,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,64.599609375000227,kNm,direct_global_mapping
member_end_force,2,j,FZ,-19.6875,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-110.74218750000205,kNm,direct_global_mapping
member_end_force,3,i,FZ,19.687500000000227,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,110.74218750000159,kNm,direct_global_mapping
member_end_force,3,j,FZ,-9.8437500000002274,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-138.42773437500136,kNm,direct_global_mapping
member_end_force,4,i,FZ,9.8437500000007212,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,138.42773437500205,kNm,direct_global_mapping
member_end_force,4,j,FZ,-6.0152634340226996e-07,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-147.65625000000108,kNm,direct_global_mapping
member_end_force,5,i,FZ,6.015248077417823e-07,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,147.65625000000165,kNm,direct_global_mapping
member_end_force,5,j,FZ,9.8437500000008153,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-138.42773437500034,kNm,direct_global_mapping
member_end_force,6,i,FZ,-9.8437499999997726,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,138.427734375,kNm,direct_global_mapping
member_end_force,6,j,FZ,19.687499999999773,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-110.74218749999909,kNm,direct_global_mapping
member_end_force,7,i,FZ,-19.687500000000455,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,110.7421875,kNm,direct_global_mapping
member_end_force,7,j,FZ,29.531250000000455,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-64.599609375,kNm,direct_global_mapping
member_end_force,8,i,FZ,-29.531250000000455,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,64.599609375,kNm,direct_global_mapping
member_end_force,8,j,FZ,39.375000000000455,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,9.099387909827783e-13,kNm,direct_global_mapping
