scope,girder_index,stage,label,internal_fe_value,analytical_reference_value,absolute_difference,relative_difference,unit,status,source
stage,1,precast_girder,G1 precast_girder left reaction,85.27500000000127,85.275000000000006,1.2647660696529783e-12,1.4831616178867891e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,precast_girder,G1 precast_girder right reaction,85.274999999999906,85.275000000000006,9.9475983006414026e-14,1.1665316095738965e-15,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,precast_girder,G1 precast_girder maximum shear,85.27500000000127,85.275000000000006,1.2647660696529783e-12,1.4831616178867891e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,precast_girder,G1 precast_girder maximum moment,319.78125000000739,319.78125,7.3896444519050419e-12,2.3108435694415701e-14,kNm,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,precast_girder,G1 precast_girder maximum deflection,8.4596622814857731,8.4596622814855973,1.758593271006248e-13,2.0787984348441221e-14,mm,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,deck_construction,G1 deck_construction left reaction,39.375000000000455,39.375,4.5474735088646412e-13,1.1549139070132288e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,deck_construction,G1 deck_construction right reaction,39.375000000000227,39.375,2.2737367544323206e-13,5.7745695350661779e-15,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,deck_construction,G1 deck_construction maximum shear,39.375000000000455,39.375,4.5474735088646412e-13,1.1549139070132288e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,deck_construction,G1 deck_construction maximum moment,147.65625000000358,147.65625,3.5811353882309049e-12,2.4253192047277498e-14,kNm,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,deck_construction,G1 deck_construction maximum deflection,3.9061765151979175,3.9061765151978332,8.4376949871511897e-14,2.1600905525703488e-14,mm,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,superimposed,G1 superimposed left reaction,87.352941176469628,87.352941176470608,9.8054897534893826e-13,1.1225139785139359e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,superimposed,G1 superimposed right reaction,87.352941176468718,87.35294117647058,1.8616219676914625e-12,2.1311497273235598e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,superimposed,G1 superimposed maximum shear,87.352941176469628,87.352941176470608,9.8054897534893826e-13,1.1225139785139359e-14,kN,pass,independent native beam-FE cross-check of construction-stage equations
stage,1,superimposed,G1 superimposed maximum moment,327.5735294117577,327.57352941176475,7.0485839387401938e-12,2.1517562641271968e-14,kNm,pass,independent native beam-FE cross-check of construction-stage equations
